Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Currency,EURO Price,Country,City
16900,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,5.6,2.16,GRP,107,EUR,16900,Italy, Lombardia - Trentino Alto Adige 
16900,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,8.04,3.06,GRP,405,EUR,16900,Germany, Baden-WÃ¼rttemberg 
16900,Motor Yacht,Jeanneau power boats,Used boat,2005,7.15,2.59,PVC,62,EUR,16900,France," SAINT CYPRIEN, France"
16900,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,7.15,2.59,PVC,98,EUR,16900,France," SAINT CYPRIEN, France"
16900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,5.47,2.34,PVC,152,EUR,16900,Spain," Torrevieja, Espagne"
18260,Bowrider,Bella power boats,Display Model,2019,5.01,2.01,GRP,339,CHF,18442.6,Switzerland, VierwaldstÃ¤ttersee 
16870,Sport Boat,Yamarin power boats,new boat from stock,2020,5.53,2.24,GRP,127,EUR,16870,Germany, Nordrhein-Westfalen 
18210,Center console boat,Saver power boats,"new boat from stock,Unleaded",2020,5.83,2.03,GRP,247,CHF,18392.1,Switzerland, Thunersee 
18200,Fishing Boat,Lund Boats power boats,new boat from stock,2020,4.95,2.03,Aluminium,241,CHF,18382,Switzerland, Lake Geneva 
18200,Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,6.5,2.5,Thermoplastic,331,CHF,18382,Switzerland, Murtensee 
17500,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,6.22,2.47,PVC,144,EUR,17500,France," CAP D'AGDE, CAP D'AGDE"
17500,Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,5.4,2.4,GRP,192,EUR,17500,Portugal, Lisbon 
17500,Trawler,Pedro power boats,Used boat,1984,8.6,2.8,Steel,149,EUR,17500,Netherlands, In verkoophaven
17490,Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,7,2,GRP,164,EUR,17490,Germany, Schwerin
17490,Cabin Boat,Winga power boats,"Used boat,Diesel",1977,7.5,2.75,GRP,162,EUR,17490,Germany, Verkaufshafen Brandenburg-Plaue
18900,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2019,5,1.94,Aluminium,215,CHF,19089,Switzerland, Bouveret
18900,Sport Boat,Campion power boats,"Used boat,Unleaded",2001,5.71,2.34,Plastic,335,CHF,19089,Switzerland, Lago Maggiore 
18900,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,6.5,2.45,Plastic,686,CHF,19089,Switzerland, Lake Constance 
19500,Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,5.9,2.32,GRP,1028,CHF,19695,Switzerland, Lake of Zurich 
18000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,7.96,2.47,GRP,375,EUR,18000,Portugal, Vilamoura
18000,Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,6.2,2,GRP,333,EUR,18000,Italy, Lake Garda 
18000,Cabin Boat,Saura power boats,"Used boat,Diesel",1993,7.35,2.72,GRP,129,EUR,18000,Spain, Mallorca 
18000,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,6.21,2.48,PVC,211,EUR,18000,Spain," DÃ©nia, Alicante"
18000,Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,8,2.94,GRP,334,EUR,18000,Italy, Toscana 
18000,Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,5.59,2.29,PVC,119,EUR,18000,Spain," Cabo de Palos, Espagne"
18800,Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,5.33,2.25,PVC,110,EUR,18800,France," Chalon-sur-SaÃ´ne, France"
18750,Center console boat,Clear power boats,new boat from stock,2020,6.15,2.27,GRP,149,EUR,18750,Germany, Lake Constance 
18700,Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,6.5,2.4,GRP,254,EUR,18700,Germany, Baden-WÃ¼rttemberg 
18690,Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,6.1,2.4,GRP,324,EUR,18690,Switzerland, Lake Geneva 
20000,Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,7.62,2.59,GRP,220,CHF,20200,Switzerland, Lago Maggiore 
19990,Sport Boat,Sea-Doo power boats,"Used boat,Unleaded",2008,4.67,2.16,GRP,540,CHF,20189.9,Switzerland, Lake of Zurich 
19990,Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,7.22,2.57,GRP,339,CHF,20189.9,Switzerland, Lake Geneva 
20100,Fishing Boat,Smartliner power boats,new boat from stock,2020,6.4,2.25,GRP,185,CHF,20301,Switzerland, Lake Geneva 
19900,Runabout,Safter Marine power boats,new boat from stock,2020,5,1.9,GRP,401,CHF,20099,Switzerland, Zugersee 
19900,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,2026,CHF,20099,Switzerland, Murtensee 
18515,Sport Boat,Yamarin power boats,new boat from stock,2020,4.86,1.96,Aluminium,145,EUR,18515,Germany, Nordrhein-Westfalen 
19500,Trawler,Beachcraft power boats,Used boat,1981,8.2,3.1,Steel,118,EUR,19500,Netherlands, In verkoophaven
19500,Cabin Boat,Waterland power boats,Used boat,1975,8.2,3.1,GRP,101,EUR,19500,Netherlands, In verkoophaven
19500,Cabin Boat,KOK power boats,Used boat,2005,6.1,2.25,Steel,78,EUR,19500,Netherlands, In verkoophaven
19490,Cabin Boat,Bayliner power boats,Unleaded,2003,5.89,2.37,GRP,261,EUR,19490,Germany, MÃ¶lln
21000,Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,5.95,2.27,GRP,163,CHF,21210,Switzerland, Luganersee 
20950,Motor Yacht,Pacific Craft power boats,"new boat from stock,Unleaded",2018,4.99,1.97,GRP,183,CHF,21159.5,Switzerland, Lake Geneva 
19300,Center console boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,117,EUR,19300,Germany, Baden-WÃ¼rttemberg 
20800,Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020,9,1.7,Wood,235,CHF,21008,Switzerland, Beringen
19900,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.12,2.44,GRP,217,EUR,19900,Italy, Friuli Venezia Giulia 
19900,Sport Boat,Galia power boats,"new boat from stock,Unleaded",2018,4.78,1.95,GRP,121,EUR,19900,Germany, Boote Pfister / Schwebheim
19900,Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,9,3.2,GRP,314,EUR,19900,Germany, Lake Constance 
19900,Motor Yacht,Crownline power boats,Used boat,1997,7.5,2.59,GRP,122,EUR,19900,Netherlands, Lemmer
19900,Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,7.83,2.58,PVC,165,EUR,19900,France," Chalon-sur-SaÃ´ne, France"
19900,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,6.16,2.29,GRP,375,EUR,19900,Germany, Lake Constance 
19900,Sport Boat,Buster power boats,"Used boat,Unleaded",1994,4.95,1.97,Aluminium,80,EUR,19900,Germany, Bayern 
19900,Cabin Boat,Fjord power boats,"Used boat,Diesel",1984,8.15,2.9,GRP,280,EUR,19900,Germany, Flensburger FÃ¶rde 
19900,Sport Boat,Boesch power boats,"Used boat,Unleaded",1970,5.1,2.02,Wood,206,EUR,19900,Germany, Baden-WÃ¼rttemberg 
